SL NO,District,Location Name As Per List,Location Address,Location Category,Hotspot included in Phase 
1169,Thrissur,Wadakkanchery mini civil station,"Sub Treasury Thalappily,Wadakanchery mini civil station,Thrissur - Shoranur Rd,Wadakkanchery 680 582",Civi Station/Mini Civil station,Phase-2
1170,Thrissur,West Nada ,"SRTO guruvayur, near private bus stand,Guruvayur, Kerala 680101",Govt Office,Phase-2
1171,Thrissur,KSRTC Guruvayoor Depot,"KSRTC bus stand,West Nada, Guruvayur, Kerala 680101",Bus stand,Phase-2
1172,Thrissur,KSRTC Kodungallur Operating Centre,"KSRTC bus station,Padakulam, Kodungallur, Kerala 680664",Bus stand,Phase-2
1173,Thrissur,KSRTC Puthukad Operating Centre,"KSRTC Stand Pudukad,Service Rd, Pudukad, Kerala 680301",Bus stand,Phase-2
1174,Thrissur,Market Jn,"Sub Registrar Office, Chemmanda Rd, Irinjalakuda, Kerala 680125",Govt Office,Phase-2
1175,Thrissur,Chembukkavu (Museum),"State museum and zoo Thrissur,Town Hall Rd, Udaya Nagar, Chembukkav, Thrissur, Kerala 680020",Tourist Place,Phase-2
1176,Thrissur,PUNNAMPARAMBU BUS STOP,"Thekkumkara village office,Pullamkattil Road, Thekkumkara, Kerala 680123",Village office,Phase-2
1177,Thrissur,Poomala Dam Garden,"Poomla Dam ,Killanur, Kerala -680 581",Tourist Place,Phase-2
1178,Thrissur,Thumburmuzhy butterfly garden,"Chalakudy - Anamala Road, Thrissur, Kerala 680721",Tourist Place,Phase-2
1179,Thrissur,Muziris backwater front at kottappuram,"Muziris Hop-ON Hop-OFF Boat Service,Kottapuram, Kodungallur, Kerala 680669",Tourist Place,Phase-2
1180,Thrissur,"Guruvayoor around, park, center","Guruvayoor municipality childrens park,East Nada, Guruvayoor, Thrissur, Kerala 680101",Tourist Place,Phase-2
1181,Thrissur,District Court Complex Thrissur,"Ayyanthole Civil Line Rd, Kalyan Nagar, Ayyanthole, Thrissur, Kerala 680003",Court,Phase-2
1182,Thrissur,DH Vadakkancery,"Government District Hospital,Ottupara, Kodungallur - Shornur Rd, Ottupara, Wadackanchery, Kerala 680590",Hospital,Phase-2
1183,Thrissur,General Hospital Irinjalakkuda,"General Hospital Irinjalakkuda,Railway Station Rd, Tana, Irinjalakuda, Kerala 680121",Hospital,Phase-2
1184,Thrissur,General Hospital Thrissur,"Swaraj Round E, Round East, Thrissur, Kerala 680001",Hospital,Phase-2
1185,Thrissur,Kerala University of Health Sciences,"Kerala University of Health Sciences,Medical College, PO, Thrissur, Kerala 680596",University/College,Phase-2
1186,Thrissur,"Matsya Bhavan,Nattika","Matsya Bhavan,Nattika,Thrissur, Kerala 680566",Fisheries Department,Phase-2
1187,Thrissur,"Panampilli Govindamenon memorial Govt college, Chalakkudy","PO Potta, Chalakudy, Thrissur, Kerala 680722",University/College,Phase-2
1188,Thrissur, TH Puthukkad,"Government Taluk Hospital Pudukkad,Urakom Pudukad Rd, Pudukad, Kerala 680301",Hospital,Phase-2
1189,Thrissur, THQH Chalakkudy,"Taluk Headquarters Hospital,Palace Road, Chalakudy, Kerala 680307",Hospital,Phase-2
1190,Thrissur, THQH Kodungalloor,"Taluk Head Quarters Hospital,Kodungallur Eriyad Rd, Pettumma, Kodungallur, Kerala 680668",Hospital,Phase-2
1191,Thrissur, THQH Kunnamkulam,"Taluk Headquarters Hospital Kunnamkulam,Near Police Station, Thrissur Road, Kunnamkulam, Thrissur, Kerala 680503",Hospital,Phase-2
1192,Palakkad,District Hospital,"Near Municipal Office, Court Road Palakkad 678001",Hospital,Phase-1
1193,Palakkad,Olavakkode Municipal Complex,"Government Polytechnic College, Kallingal Road, Kodumba, Palakkad,Kerala 678551",University/College,Phase-1
1194,Palakkad,Civil Station : Industrtial Office,"South Fort Road, Kenathuparambu, Kunathurmedu, Palakkad, Kerala 678001",Civi Station/Mini Civil station,Phase-1
1195,Palakkad,Agali Grama Panchayat Complex - Kila Training centre,"Agali , Agali Po, Pin 678581",Panchayat office,Phase-1
1196,Palakkad,SBI Junction- IHRD College,"Agali , Agali Po, Pin 678581",University/College,Phase-1
1197,Palakkad,"Alathur Taluk Office, Court, Treasury","Alathur Taluk Office, Alathur P.O, palakkad-678541",Court,Phase-1
1198,Palakkad,Chalavara Center,"Chalavara Center, Near Panchayath Office, Chalava(P.O), Pin-679505",Panchayat office,Phase-1
1199,Palakkad,CHERPULASSERI BUSTAND (OLD),CHERPULASSERI- 679503,Bus stand,Phase-1
1200,Palakkad,Chittur Tattamangalam Municipality,"Ambattupalayam,Chittur College (po),Palakkad-678104",Municipal Office,Phase-1
1201,Palakkad,Kunnachi(GP),"Kunnachi, Elappully P O, Palakkad 678622",Panchayat office,Phase-1
1202,Palakkad,Pathikkal Junction(panchayath office),"Pathikkal Junction Kannadi(po), Palakkad-678701",Panchayat office,Phase-1
1203,Palakkad,Kannambra Bank junction(PANCHAYATH OFFICE),"Kannambra P.o, Palakkad,678686",Panchayat office,Phase-1
